Title,Artist,Album,Audience/Views,Date,Type
"""Shape of You""",Ed Sheeran,÷,2.615,6-Jan-17,Spotify
"""Rockstar""",Post Malone featuring 21 Savage,Beerbongs & Bentleys,2.027,15-Sep-17,Spotify
"""One Dance""",Drake featuring Wizkid and Kyla,Views,1.922,5-Apr-16,Spotify
"""Dance Monkey""",Tones and I,The Kids Are Coming,1.879,10-May-19,Spotify
"""Closer""",The Chainsmokers featuring Halsey,Collage,1.866,29-Jul-16,Spotify
"""Sunflower""",Post Malone and Swae Lee,Spider-Man: Into the Spider-Verse & Hollywood's Bleeding,1.668,18-Oct-18,Spotify
"""Thinking Out Loud""",Ed Sheeran,×,1.621,20-Jun-14,Spotify
"""God's Plan""",Drake,Scorpion,1.619,19-Jan-18,Spotify
"""Señorita""",Shawn Mendes and Camila Cabello,Shawn Mendes & Romance,1.604,21-Jun-19,Spotify
"""Bad Guy""",Billie Eilish,"When We All Fall Asleep, Where Do We Go?",1.554,29-Mar-19,Spotify
"""Blinding Lights""",The Weeknd,After Hours,1.543,29-Nov-19,Spotify
"""Someone You Loved""",Lewis Capaldi,Breach & Divinely Uninspired to a Hellish Extent,1.534,8-Nov-18,Spotify
"""Perfect""",Ed Sheeran,÷,1.528,3-Mar-17,Spotify
"""Say You Won't Let Go""",James Arthur,Back from the Edge,1.526,9-Sep-16,Spotify
"""Havana""",Camila Cabello featuring Young Thug,Camila,1.505,3-Aug-17,Spotify
"""Believer""",Imagine Dragons,Evolve,1.497,1-Feb-17,Spotify
"""Photograph""",Ed Sheeran,×,1.456,20-Jun-14,Spotify
"""Love Yourself""",Justin Bieber,Purpose,1.45,9-Nov-15,Spotify
"""Starboy""",The Weeknd featuring Daft Punk,Starboy,1.435,21-Sep-16,Spotify
"""New Rules""",Dua Lipa,Dua Lipa,1.419,2-Jun-17,Spotify
"""Sad!""",XXXTentacion,?,1.406,1-Mar-18,Spotify
"""Lean On""",Major Lazer and DJ Snake featuring MØ,Peace Is the Mission,1.403,2-Mar-15,Spotify
"""Something Just Like This""",The Chainsmokers and Coldplay,Memories...Do Not Open,1.396,22-Feb-17,Spotify
"""Lucid Dreams""",Juice Wrld,Goodbye & Good Riddance,1.394,4-May-18,Spotify
"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Vida,1.39,17-Apr-17,Spotify
"""Thunder""",Imagine Dragons,Evolve,1.37,27-Apr-17,Spotify
"""Sorry""",Justin Bieber,Purpose,1.36,22-Oct-15,Spotify
"""XO Tour Llif3""",Lil Uzi Vert,Luv Is Rage 2,1.345,24-Mar-17,Spotify
"""Don't Let Me Down""",The Chainsmokers featuring Daya,Collage,1.342,5-Feb-16,Spotify
"""Humble""",Kendrick Lamar,Damn,1.326,30-Mar-17,Spotify
"""Bohemian Rhapsody""",Queen,A Night at the Opera,1.316,31-Oct-75,Spotify
"""I Took a Pill in Ibiza (Seeb Remix)""",Mike Posner and Seeb,"At Night, Alone",1.309,14-Apr-15,Spotify
"""Happier""",Marshmello and Bastille,Non-album single,1.303,17-Aug-18,Spotify
"""All of Me""",John Legend,Love in the Future,1.3,12-Aug-13,Spotify
"""Better Now""",Post Malone,Beerbongs & Bentleys,1.297,27-Apr-18,Spotify
"""Let Me Love You""",DJ Snake featuring Justin Bieber,Encore,1.292,5-Aug-16,Spotify
"""Faded""",Alan Walker,Different World,1.284,3-Dec-15,Spotify
"""Shallow""",Lady Gaga and Bradley Cooper,A Star Is Born,1.279,27-Sep-18,Spotify
"""Stressed Out""",Twenty One Pilots,Blurryface,1.275,28-Apr-15,Spotify
"""Congratulations""",Post Malone featuring Quavo,Stoney,1.269,4-Nov-16,Spotify
"""7 Rings""",Ariana Grande,"Thank U, Next",1.267,18-Jan-19,Spotify
"""Take Me to Church""",Hozier,Hozier,1.25,13-Sep-13,Spotify
"""Sicko Mode""",Travis Scott,Astroworld,1.241,3-Aug-18,Spotify
"""Jocelyn Flores""",XXXTentacion,17,1.24,25-Aug-17,Spotify
"""Treat You Better""",Shawn Mendes,Illuminate,1.223,3-Jun-16,Spotify
"""Let Her Go""",Passenger,All the Little Lights,1.216,24-Feb-12,Spotify
"""Unforgettable""",French Montana featuring Swae Lee,Jungle Rules,1.209,7-Apr-17,Spotify
"""Uptown Funk""",Mark Ronson featuring Bruno Mars,Uptown Special,1.207,10-Nov-14,Spotify
"""Stay with Me""",Sam Smith,In the Lonely Hour,1.206,14-Apr-14,Spotify
"""Cheap Thrills""",Sia,This Is Acting,1.204,29-Jan-16,Spotify
"""Goosebumps""",Travis Scott,Birds in the Trap Sing McKnight,1.192,2-Sep-16,Spotify
"""Girls Like You""",Maroon 5 featuring Cardi B,Red Pill Blues,1.185,30-May-18,Spotify
"""Thank U, Next""",Ariana Grande,"Thank U, Next",1.183,3-Nov-18,Spotify
"""Despacito""",Luis Fonsi featuring Daddy Yankee,Vida,1.166,12-Jan-17,Spotify
"""I Don't Care""",Ed Sheeran and Justin Bieber,No.6 Collaborations Project,1.164,10-May-19,Spotify
"""Too Good at Goodbyes""",Sam Smith,The Thrill of It All,1.161,8-Sep-17,Spotify
"""Lovely""",Billie Eilish and Khalid,Don't Smile At Me (Expanded Edition),1.149,19-Apr-18,Spotify
"""7 Years""",Lukas Graham,Lukas Graham,1.148,16-Jun-15,Spotify
"""Don't Start Now""",Dua Lipa,Future Nostalgia,1.142,1-Nov-19,Spotify
"""Wake Me Up""",Avicii featuring Aloe Blacc,TRUE,1.14,17-Jun-13,Spotify
"""Can't Stop the Feeling!""",Justin Timberlake,Trolls: Original Motion Picture Soundtrack,1.139,6-May-16,Spotify
"""Circles""",Post Malone,Hollywood's Bleeding,1.138,30-Aug-19,Spotify
"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,Non-album single,1.135,22-Jul-16,Spotify
"""What Do You Mean?""",Justin Bieber,Purpose,1.129,28-Aug-15,Spotify
"""Without Me""",Halsey,Manic,1.129,4-Oct-18,Spotify
"""Stitches""",Shawn Mendes,Handwritten,1.126,14-Apr-15,Spotify
"""I Like It""","Cardi B, Bad Bunny and J Balvin",Invasion of Privacy,1.119,6-Apr-18,Spotify
"""That's What I Like""",Bruno Mars,24K Magic,1.116,18-Nov-16,Spotify
"""Psycho""",Post Malone featuring Ty Dolla Sign,Beerbongs & Bentleys,1.102,23-Feb-18,Spotify
"""I Fall Apart""",Post Malone,Stoney,1.101,9-Dec-16,Spotify
"""Counting Stars""",OneRepublic,Native,1.098,25-Mar-13,Spotify
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,The Heist,1.096,16-Aug-11,Spotify
"""See You Again""",Wiz Khalifa featuring Charlie Puth,Furious 7: Original Motion Picture Soundtrack,1.092,10-Mar-15,Spotify
"""Cheerleader (Felix Jaehn Remix)""",Omi,Me 4 U,1.089,19-May-14,Spotify
"""Heathens""",Twenty One Pilots,Suicide Squad: The Album,1.089,16-Jun-16,Spotify
"""One Kiss""",Dua Lipa and Calvin Harris,Dua Lipa,1.088,6-Apr-18,Spotify
"""Radioactive""",Imagine Dragons,Night Visions,1.079,4-Sep-12,Spotify
"""Attention""",Charlie Puth,Voicenotes,1.076,21-Apr-17,Spotify
"""Moonlight""",XXXTentacion,?,1.072,16-Mar-18,Spotify
"""Eastside""","Benny Blanco, Halsey and Khalid",Friends Keep Secrets,1.071,12-Jul-18,Spotify
"""This Is What You Came For""",Calvin Harris featuring Rihanna,Non-album single,1.07,29-Apr-16,Spotify
"""I Like Me Better""",Lauv,I Met You When I Was 18 (The Playlist),1.068,19-May-17,Spotify
"""Riptide""",Vance Joy,Dream Your Life Away,1.067,21-May-13,Spotify
"""The Hills""",The Weeknd,Beauty Behind The Madness,1.067,27-May-15,Spotify
"""In My Feelings""",Drake,Scorpion,1.066,29-Jun-18,Spotify
"""Old Town Road (Remix)""",Lil Nas X and Billy Ray Cyrus,7,1.065,5-Apr-19,Spotify
"""Can't Feel My Face""",The Weeknd,Beauty Behind the Madness,1.065,8-Jun-15,Spotify
"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B",Carte Blanche,1.061,28-Sep-18,Spotify
"""Hello""",Adele,25,1.06,23-Oct-15,Spotify
"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,27-Jul,1.053,26-Feb-16,Spotify
"""Sugar""",Maroon 5,V,1.052,29-Aug-14,Spotify
"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,Nine Track Mind,1.047,29-Jan-16,Spotify
"""Demons""",Imagine Dragons,Night Visions,1.047,4-Sep-12,Spotify
"""IDGAF""",Dua Lipa,Dua Lipa,1.045,2-Jun-17,Spotify
"""Chandelier""",Sia,1000 Forms of Fear,1.044,17-Mar-14,Spotify
"""Youngblood""",5 Seconds Of Summer,Youngblood,1.038,12-Apr-18,Spotify
"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,Fifty Shades Darker: Original Motion Picture Soundtrack,1.036,9-Dec-16,Spotify
"""Mi Gente""",J Balvin and Willy William,Vibras,1.026,30-Jun-17,Spotify
"""Rockabye""",Clean Bandit featuring Sean Paul and Anne-Marie,What Is Love? & Speak Your Mind,1.025,21-Oct-16,Spotify
"""Ride""",Twenty One Pilots,Blurryface,1.025,17-May-15,Spotify
